Curve name	Model	Radius	E [Pa]	b	Skip initial [nm]	Shift CP [nm]	CP position [nm]
\force-save-2013.05.10-14.39.03.jpk-force	sneddon_sphere	0.000003	47.955886	0.000000	0.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.03.jpk-force	sneddon_sphere	0.000003	45.868213	0.000000	0.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.03.jpk-force	hertz_sphere	0.000003	46.052007	0.000000	0.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.03.jpk-force	sneddon_sphere	0.000003	46.882160	0.000000	0.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.03.jpk-force	sneddon_sphere	0.000003	46.844097	0.000000	0.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.16.jpk-force	hertz_sphere	0.000003	50.388879	0.000000	0.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.42.jpk-force	sneddon_sphere	0.000003	213.252732	0.000000	100.000000	0.000000	0.000005
\force-save-2013.05.10-14.39.55.jpk-force	hertz_sphere	0.000003	357.548841	0.000000	0.000000	275.215302	0.000004
\force-save-2013.05.10-14.39.55.jpk-force	hertz_sphere	2.500000	357.548841	0.000000	0.000000	275.215302	4307.986620
\force-save-2013.05.10-14.39.55.jpk-force	hertz_sphere	2500.000000	357.548841	0.000000	0.000000	275.215302	4307.986620
